,CATEGORIA,CLASE,SUBCATEGORIA,SUBCATEGORIA2,TIPO DOCUMENTO,,,,,,,,,,,,,,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,PLANCHETA,,"Inmob,arq,tec,com,leg","no,si,si,no,no","si,si,si,no,no",,,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,COMPRA,CIP ,"Inmob,arq,tec,leg","no,si,no,no","si,si,si,no,no",,,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,COMPRA,PPT ,Inmob,no,si,"arq,tec,cons,com,mkt, cli, leg",,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,COMPRA,CABIDA,"Inmob,arq,tec","no,no,no","si,si,si","Com,mkt,cli",,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,COMPRA,TEMBLOR,Inmob,no,si,"arq,tec,cons,com,mkt, cli, leg",,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,COMPRA,ACTA ENTREGA TERRENO,"Inmob,tec,cons,leg","no,si,si ,no","si,si,si,no,no","Com,mkt,cli",,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,ANTEPROYECTO APROBADO,,"Inmob,arq,tec,leg","no,no,no,no","si,si,si,no,no","Com,mkt,cli",,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,CV Y DOMINIO VIGENTE,,"Inmob,arq,tec,leg","no,si,si,si,si","si,si,si,no,no","mkt,cli",,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,CARTA GANTT ETAPA DISEÑO,,"Inmob,arq,tec,com,mkt","no,si,si,si,si","si,si,si,no,no",,,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,PLANNING Y BRIEF DEL PROYECTO,PLANNING,"Inmob,arq,tec,com,mkt","no,si,si,si,si","si,si,si,si,si",,,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,PLANNING Y BRIEF DEL PROYECTO,BRIEF,"Inmob,arq,tec,com,mkt","no,si,si,si,si","si,si,si,si,si",,,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,LANZAMIENTO,TEMBLOR,Inmob,no,si,"arq,tec,cons,com,mkt, cli, leg",,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,LANZAMIENTO,FICHA COSTEO,"Inmob,arq,cons","si,no,si","si,si,si","arq,com,mkt, cli,leg",,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,LANZAMIENTO,PPT ,Inmob,no,si,"arq,tec,cons,com,mkt, cli, leg",,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,REGLAMENTO COPROPIEDAD,,"Inmob,arq,tec,com,cons,leg,cli","no,si,si,si,si,si,si","si,si,si,si,si,no,no",,,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,COSTOS ESTANDAR- CIERRE PROY,,"Inmob,arq,tec,cons,cli","no,no,si,no,no","no,no,no,no,no","Com,mkt,leg",,,,
,DOCUMENTOS INMOBILIARIOS,INMOBILIARIOS,OTROS COSTOS INMOBILIARIOS,,tec,si,no,"arq,com,mkt, cli,leg",,,,
,DOCUMENTOS INMOBILIARIOS,TÉCNICOS INMOB,TOPOGRAFÍA,,"Inmob,arq,tec,cons,leg","si,si,no,si,si","si,si,no,si,no","Com,mkt,cli",,,,
,DOCUMENTOS INMOBILIARIOS,TÉCNICOS INMOB,MECÁNICA DE SUELO,,"Inmob,arq,tec,cons,leg","si,si,no,si,si","si,si,no,si,no","Com,mkt,cli",,,,
,DOCUMENTOS INMOBILIARIOS,TÉCNICOS INMOB,CERTIFICADO DE ASBESTO,,"Inmob,arq,tec,cons","si,si,no,si","si,si,no,si","Com,mkt,cli",,,,
,DOCUMENTOS INMOBILIARIOS,TÉCNICOS INMOB,CERTIFICADO DESRATIZACIÓN,,"Inmob,arq,tec,cons","si,si,no,si","si,si,no,si","Com,mkt,cli",,,,
,DOCUMENTOS ARQUITECTURA-ODI,DISEÑO / DECORACIÓN,ARQ Y FICHA SUP E INDICES ARQ 1 ,,"Inmob,arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,si","Com,mkt,cli,leg",,,,
,DOCUMENTOS ARQUITECTURA-ODI,DISEÑO / DECORACIÓN,ARQ Y FICHA SUP E ÍNDICES ARQ 2,,"Inmob,arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,si","Com,mkt,cli,leg",,,,
,DOCUMENTOS ARQUITECTURA-ODI,DISEÑO / DECORACIÓN,ARQ Y FICHA SUP E IND ARQ 3 (FIRMA COMITÉ),,"Inmob,arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,si","Com,mkt,cli,leg",,,,
,DOCUMENTOS ARQUITECTURA-ODI,PERMISOS,FUSIÓN / SUBDIVISIÓN,,"Inmob, arq,leg","si,no,si","si,no,no","mkt,cli",,,,
,DOCUMENTOS ARQUITECTURA-ODI,PERMISOS,CERT FUSIÓN DE ROLES,,"Inmob, arq,leg","si,no,si","si,no,no","mkt,cli",,,,
,DOCUMENTOS ARQUITECTURA-ODI,PERMISOS,CIP TERRENO FUSIONADO,,"Inmob, arq,leg","si,no,si","si,no,no","mkt,cli",,,,
,DOCUMENTOS ARQUITECTURA-ODI,PERMISOS,CERTIFICADO DE NÚMERO,CERTIFICADO DE NÚMERO PROPIEDAD,"Inmob, arq,cons,leg","si,no,si,no ","si,no,si,no",mkt ,,,,
,DOCUMENTOS ARQUITECTURA-ODI,PERMISOS,SERVIDUMBRES,,"Inmob, arq,tec,cons,com, leg,cli","si,no,si,si,si,si,si","si,no,si,si,si,no,no",mkt,,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN PRESUPUESTO (ARQ 7),ARQUITECTURA Y FICHA DE COSTEO DICH,,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no","com,mkt,leg",,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN PRESUPUESTO (ARQ 7),DETALLES,,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no","com,mkt,leg",,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN PRESUPUESTO (ARQ 7),ESPECIALIDADES EDIFICIOS Y CASAS,CÁLCULO,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no","com,mkt,leg",,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN PRESUPUESTO (ARQ 7),ESPECIALIDADES EDIFICIOS Y CASAS,ELECTRICO ALUMBRADO-FUERZA,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no","com,mkt,leg",,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN PRESUPUESTO (ARQ 7),ESPECIALIDADES EDIFICIOS Y CASAS,ELECTRICO CD-SEGURIDAD,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no","com,mkt,leg",,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN PRESUPUESTO (ARQ 7),ESPECIALIDADES EDIFICIOS Y CASAS,ELECTRICO TELECOM,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no","com,mkt,leg",,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN PRESUPUESTO (ARQ 7),ESPECIALIDADES URBANIZACIÓN CASAS,PAISAJISMO Y RIEGO,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no","com,mkt,leg",,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN PRESUPUESTO (ARQ 7),MODELO BIM,,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no",leg,,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN PRESUPUESTO (ARQ 7),MATRIZ DPTOS,,"Inmob, arq,tec,cons,com,cli,leg","si,no,si,si,si,no,no","si,no,si,si,si,no,no",,,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN PRESUPUESTO (ARQ 7),MATRIZ EECC,,"Inmob, arq,tec,cons,com,cli,leg","si,no,si,si,si,no,no","si,no,si,si,si,no,no",,,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN PRESUPUESTO (ARQ 7),MATRIZ TÉCNICA,,"Inmob, arq,tec,cons,com,cli,leg","si,no,si,si,si,no,no","si,no,si,si,si,no,no",,,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN PRESUPUESTO (ARQ 7),MATRIZ COMPLEMENTARIA,,"Inmob, arq,tec,cons,com,cli,leg","si,no,si,si,si,no,no","si,no,si,si,si,no,no",,,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN OBRA (ARQ 8),ARQUITECTURA,,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no",,,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN OBRA (ARQ 8),DETALLES,,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no",,,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN OBRA (ARQ 8),ESPECIALIDADES,CÁLCULO,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no","com,mkt,leg",,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN OBRA (ARQ 8),ESPECIALIDADES,ELECTRICO ALUMBRADO-FUERZA,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no","com,mkt,leg",,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN OBRA (ARQ 8),ESPECIALIDADES,ELECTRICO CD-SEGURIDAD,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no","com,mkt,leg",,,,
,DOCUMENTOS ARQUITECTURA-ODI,VERSIÓN OBRA (ARQ 8),ASBUILT ARQUITECTURA,,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no","com,mkt,leg",,,,
,DOCUMENTOS CONSTRUCCIÓN,VERSIÓN OBRA (ARQ 8),EVALUACIÓN COSTO COMPRA,,"Inmob, tec, cons","si,si,no","si,si,no","com,mkt,cli,leg",,,,
,DOCUMENTOS CONSTRUCCIÓN,VERSIÓN OBRA (ARQ 8),CARTA GANTT CONSTRUCCIÓN,,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no",,,,,
,DOCUMENTOS CONSTRUCCIÓN,VERSIÓN OBRA (ARQ 8),PRESUPUESTO DETALLADO,,"Inmob, arq,tec,cons","si,no,si,si","si,no,si,si","com,mkt,cli,leg",,,,
,DOCUMENTOS CONSTRUCCIÓN,VERSIÓN OBRA (ARQ 8),CONTRATO DE OBRA,,"Inmob,cons","si,no","si,no","com,mkt,cli",,,,
,DOCUMENTOS CONSTRUCCIÓN,VERSIÓN OBRA (ARQ 8),COSTOS,CONTROL COSTOS EN LÍNEA,"Inmob, tec, cons","si,si,no","si,si,no","com,mkt,cli,leg",,,,
,DOCUMENTOS CONSTRUCCIÓN,VERSIÓN OBRA (ARQ 8),COSTOS,VERSIONES DE COSTOS,"Inmob, tec, cons","si,si,no","si,si,no","com,mkt,cli,leg",,,,
,DOCUMENTOS CONSTRUCCIÓN,VERSIÓN OBRA (ARQ 8),CONTROL AVANCE OBRA,,"Inmob, tec, cons,cli","si,si,no,si","si,si,no,no","com,mkt,leg",,,,
,DOCUMENTOS CONSTRUCCIÓN,VERSIÓN OBRA (ARQ 8),AS BUILT ESPECIALIDADES,CÁLCULO,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no",mkt,,,,
,DOCUMENTOS CONSTRUCCIÓN,VERSIÓN OBRA (ARQ 8),AS BUILT ESPECIALIDADES,ELECTRICO ALUMBRADO-FUERZA,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no",mkt,,,,
,DOCUMENTOS CONSTRUCCIÓN,VERSIÓN OBRA (ARQ 8),AS BUILT ESPECIALIDADES,ELECTRICO CD-SEGURIDAD,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no",mkt,,,,
,DOCUMENTOS CONSTRUCCIÓN,VERSIÓN OBRA (ARQ 8),AS BUILT ESPECIALIDADES,GAS MEDIA PRESIÓN,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no",mkt,,,,
,DOCUMENTOS CONSTRUCCIÓN,VERSIÓN OBRA (ARQ 8),AS BUILT ESPECIALIDADES,PAISAJISMO Y RIEGO,"Inmob, arq,tec,cons,cli","si,no,si,si,si","si,no,si,si,no",mkt,,,,
,DOCUMENTOS COMERCIALES,VERSIÓN OBRA (ARQ 8),MANTRA 2.0,,"Inmob, arq,tec,cons,com,cli,mkt","si,si,si,si,no,no,si","si,si,si,si,no,no,no",,,,,
,DOCUMENTOS COMERCIALES,VERSIÓN OBRA (ARQ 8),ESTUDIOS DE MERCADO,,"Inmob, arq,tec,cons,com,cli,mkt","si,si,si,si,no,no,si","si,si,si,si,no,no,no",leg,,,,
,DOCUMENTOS COMERCIALES,VERSIÓN OBRA (ARQ 8),BRIEF DECORACIÓN PILOTO,,"Inmob, arq,tec,cons,com,cli,mkt","si,si,si,si,no,no,si","si,si,si,si,no,no,no",leg,,,,
,DOCUMENTOS COMERCIALES,VERSIÓN OBRA (ARQ 8),BRIEF DECORACIÓN EECC,,"Inmob, arq,tec,cons,com,cli,mkt","si,si,si,si,no,no,si","si,si,si,si,no,no,no",leg,,,,
,DOCUMENTOS COMERCIALES,VERSIÓN OBRA (ARQ 8),BRIEF DECORACIÓN SALA VENTAS,,"Inmob, arq,tec,cons,com,cli,mkt","si,si,si,si,no,no,si","si,si,si,si,no,no,no",leg,,,,
,DOCUMENTOS COMERCIALES,VERSIÓN OBRA (ARQ 8),KICK-OFF PROYECTOS,,"Inmob, arq,tec,cons,com,cli,mkt","si,si,si,si,no,no,si","si,si,si,si,no,no,no",,,,,
,DOCUMENTOS COMERCIALES,VERSIÓN OBRA (ARQ 8),RENDERS,,"Inmob, arq,tec,cons,com,cli,mkt","si,si,si,si,no,no,si","si,si,si,si,no,no,no",,,,,
,DOCUMENTOS COMERCIALES,VERSIÓN OBRA (ARQ 8),LISTA DE PRECIOS LANZAMIENTO,,"Inmob, com","si,no","si,no","arq,mkt,leg,cli,tec",,,,
,DOCUMENTOS COMERCIALES,VERSIÓN OBRA (ARQ 8),FICHA PROMESAS,,"Inmob, com","si,no","si,no","arq,cli",,,,
,DOCUMENTOS COMERCIALES,VERSIÓN OBRA (ARQ 8),DIAGNÓSTICO 360,,"Inmob, arq,tec,cons,com,cli,mkt","si,si,si,si,no,no,si","si,si,si,si,no,no,no",,,,,
,DOCUMENTOS COMERCIALES,VERSIÓN OBRA (ARQ 8),CELDITAS DPTOS,,"Inmob, arq,tec,cons,com,cli,mkt","si,si,si,si,no,no,si","si,si,si,si,no,no,no",,,,,
,DOCUMENTOS COMERCIALES,VERSIÓN OBRA (ARQ 8),PROYECCIÓN DE VENTA,,"Inmob, arq,tec,cons,com,cli,mkt","si,si,si,si,no,no,si","si,si,si,si,no,no,no",,,,,
,DOCUMENTOS COMERCIALES,VERSIÓN OBRA (ARQ 8),PROYECCIÓN ESCRITURA,,"Inmob, arq,tec,cons,com,cli,mkt","si,si,si,si,no,no,si","si,si,si,si,no,no,no",,,,,
